Sample_ID,Sample_Description,SUVA254,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX
K012,K012,5.3742,0.012888,0.99967,0.0163,0.99895,0.79069,4.1069,1.5602,0.87707,0.65883,0.66699
K013,K013,3.2187,0.015492,0.99952,0.016632,0.99986,0.93146,5.4557,1.5664,0.89955,0.69906,0.71053
K020,K020,1.8956,0.020765,0.99988,0.01554,0.99989,1.3362,6.7236,1.498,0.78837,0.73765,0.75301
K021,K021,3.4389,0.012375,0.99901,0.015602,0.99975,0.79317,4.0666,1.6331,0.83462,0.73345,0.74965
K022,K022,3.5694,0.016213,0.9997,0.01636,0.99991,0.991,5.4903,1.5402,0.89708,0.63509,0.63699
K024,K024,3.3252,0.016338,0.99968,0.017096,0.99983,0.95571,5.7646,1.532,0.8992,0.69666,0.70514
K029,K029,5.1334,0.011503,0.99972,0.015894,0.99972,0.72372,3.9874,1.5852,0.91012,0.6351,0.64306
K030,K030,3.8408,0.013875,0.99962,0.017492,0.99979,0.79317,4.9592,1.6118,0.90287,0.67929,0.69273
K034,K034,3.3774,0.016378,0.99959,0.017634,0.99979,0.92876,5.7353,1.546,0.90252,0.68472,0.69237
K036,K036,3.1385,0.016164,0.99933,0.015607,0.99989,1.0357,5.449,1.5141,0.85968,0.75276,0.76301
K037,K037,2.9728,0.01623,0.99966,0.017613,0.99977,0.92147,5.5847,1.558,0.89133,0.68235,0.68674
K038,K038,3.3426,0.015809,0.99942,0.016915,0.99977,0.93459,5.4172,1.5648,0.84171,0.69701,0.7143
K040,K040,2.4464,0.017996,0.99938,0.016914,0.9996,1.064,6.2058,1.5269,0.84966,0.75241,0.7651
K041,K041,3.0499,0.016537,0.99947,0.017144,0.99977,0.96455,5.78,1.5463,0.88283,0.69566,0.69848
K042,K042,10.4313,0.0044149,0.99246,0.009164,0.99094,0.48176,1.7141,1.768,0.77899,0.88885,0.92294
K043,K043,2.2873,0.017161,0.99872,0.016669,0.9995,1.0295,6.1182,1.5499,0.80531,0.79207,0.81094
K044,K044,2.6833,0.016942,0.99954,0.017415,0.99982,0.97283,5.9209,1.5715,0.88718,0.70076,0.70666
K045,K045,6.0347,0.011408,0.99903,0.015393,0.99972,0.74108,3.8552,1.4633,0.92269,0.52204,0.53508
K046,K046,4.2846,0.012492,0.99937,0.015742,0.99982,0.79359,4.2612,1.5846,0.89431,0.66683,0.671
K048,K048,3.4963,0.013115,0.99899,0.017274,0.99901,0.75926,4.391,1.7602,0.81769,0.83005,0.85417
K049,K049,2.6491,0.019689,0.99965,0.018641,0.99975,1.0562,6.9522,1.5487,0.85895,0.67941,0.69137
K050,K050,4.6279,0.01243,0.99941,0.017445,0.99911,0.71254,4.2846,1.5897,0.89911,0.60025,0.6061
K051,K051,3.2057,0.016321,0.99982,0.017959,0.99976,0.90878,5.7979,1.5762,0.89681,0.66352,0.67041
K052,K052,3.1629,0.016867,0.99958,0.016979,0.99983,0.99339,5.8713,1.5384,0.88505,0.70092,0.71073
K054,K054,4.225,0.014286,0.99949,0.016518,0.99985,0.86483,4.7932,1.5577,0.92334,0.61505,0.61976
K055,K055,3.483,0.013498,0.99926,0.013619,0.99979,0.99117,4.2581,1.6239,0.87337,0.69852,0.70848
K056,K056,3.9551,0.014227,0.99953,0.012867,0.99963,1.1057,4.6907,1.5482,0.90011,0.66167,0.67275
K058,K058,3.6033,0.014664,0.9996,0.014495,0.99967,1.0117,4.7431,1.5578,0.9088,0.67061,0.68097
K059,K059,3.0424,0.017178,0.99956,0.017329,0.9998,0.99127,6.058,1.5231,0.88595,0.70775,0.71528
K060,K060,3.001,0.01584,0.99901,0.017216,0.99977,0.92009,5.7217,1.5566,0.8742,0.7528,0.76756
K061,K061,3.807,0.014436,0.99972,0.016328,0.99991,0.88414,4.948,1.6071,0.91644,0.66386,0.66961
K062,K062,3.1509,0.017082,0.99959,0.018693,0.99979,0.91381,6.3167,1.6317,0.88782,0.70752,0.71737
